125.34,124.5,125.74,123.9,36619021
123.09,122.9,123.61,122.12,36954251
123.34,123.42,123.94,122.57,28564287
123.15,122.98,123.5,122.27,29151460
122.3,122.37,122.58,121.73,28321079
122.6,121.46,122.64,120.91,35654023
121.5,118.45,122.57,117.52,63302248
117.31,114.75,117.83,113.37,109054693
112.97,115.39,117.44,112.1,89734198
115.97,115.14,116.5,114.115,47041153
114.57,115.54,116.25,114.5,34461818
116.53,119.72,119.99,116.53,48978027
117.97,113.55,118.18,113.33,87651994
112.54,115.26,115.42,109.63,91729103
116.04,115.17,116.4,114.54,43747902
114.32,115.96,116.31,114.01,38654095
116.04,117.17,117.65,115.5,37270383
116.43,116.5,117.44,116.01,31024755
116.1,115.02,116.52,114.68,42396570
114.08,112.65,114.35,111.63,61362472
110.43,105.77,111.9,105.64,111370920
94.9,103.1299,108.8,92,136552536
111.1,103.75,111.15,103.5,86740874
107.05,109.7,109.89,105.05,83484085
112.23,112.92,113.24,110.02,73033725
112.17,113.29,113.32,111.54,46648635
112.03,112.71,114.53,112,48509515
110.18,107.73,111.88,107.36,66895181
110.33,112.33,112.33,109.131,52140654
112.48,110.34,112.78,110.04,46256514
108.97,109.17,110.45,108.51,42384972
111.65,112.31,112.56,110.32,45676681
113.76,110.1456,114.02,109.77,74790029
110.27,112.59,113.2825,109.9,55770719
111.79,114.2,114.2,111.76,43420449
116.58,115.3379,116.89,114.86,50093448
115.93,116.27,116.53,114.42,38309927
116.22,116.42,116.54,115.44,32972156
115.66,113.93,116.49,113.715,55411341
112.21,113.4899,114.3,111.87,55034822
113.67,115.22,115.37,113.66,39660260
113.38,113.37,114.18,112.5201,41894057
113.57,114.34,114.72,113.3,31999161
113.23,115,115.5,112.37,42181657
116.44,114.75,116.69,114.02,48999357
113.85,112.46,114.57,112.45,43020371
112.83,109.06,113.51,107.86,65493032
110.26,110.29,111.54,108.73,56098661
109.07,109.57,109.62,107.31,54079654
108.01,110.28,111.0136,107.55,49624798
109.87,110.64,111.3698,109.07,44584740
110.63,111.33,111.74,109.765,43041970
111.74,110.77,111.77,109.41,42226434
110.19,109.5,110.19,108.21,54898152
110,112.12,112.28,109.49,45920837
112.73,111.5801,112.75,111.44,26605967
110.82,111.79,112.45,110.68,28502402
111.29,110.21,111.52,109.56,39014295
110.93,111.85,112.1,110.49,33030464
111.78,111.02,112,110.53,33253074
110.8,111.73,111.75,110.11,25685587
111.34,113.8,114.17,110.82,43767752
114,113.76,115.58,113.7,37554682
114.33,115.49,115.5,114.1,36107370
116.7,119.09,119.228,116.33,51888184
118.08,115.27,118.13,114.92,58444017
115.4,114.58,116.54,113.99,50616331
116.93,119.3,119.3,116.06,77126335
118.7,120.53,120.69,118.27,44522780
120.99,119.505,121.22,119.45,41852969
119.87,121.19,121.36,119.61,28020028
120.79,122.59,123.49,120.7,39175176
123.13,121.95,123.82,121.62,37086643
121.85,120.91,122.69,120.18,33022644
121.11,121.06,121.81,120.62,27916777
120.96,120.58,121.81,120.05,26803176
116.9,116.78,118.07,116.061,50886515
116.37,116.11,117.42,115.21,41313334
116.26,115.74,116.82,115.65,28449600
115.2,112.33,115.57,112.27,40048909
111.38,114.18,114.24,111,32151889
114.92,113.67,115.05,113.32,24140379
115.76,117.2814,117.49,115.5,40578944
117.64,118.78,119.75,116.76,37750300
119.2,119.3,119.92,118.85,28614828
119.27,117.75,119.73,117.34,26296339
117.33,118.91,119.35,117.12,33371563
119.21,118.02,119.23,117.92,18054948
118.29,117.82,118.41,117.6,10511723
117.99,118.37,119.41,117.75,27978094
118.75,117.29,118.81,116.86,29966784
117.05,116.3,118.11,116.08,27552287
116.55,115.2,116.79,114.22,33603350
115.29,119,119.25,115.11,48715170
118.94,118.27,119.86,117.81,27923762
117.52,118.24,118.6,116.86,28860830
117.51,115.63,117.69,115.08,37928616
116.04,116.18,116.94,115.51,25350609
115.21,113.17,115.39,112.851,39275473
112.18,112.47,112.68,109.79,55540184
111.94,110.49,112.8,110.35,46145532
111.07,111.34,111.99,108.8,49686361
112.02,108.9999,112.17,108.99,39052007
108.91,105.95,109.52,105.81,60812399
107.28,107.32,107.37,105.57,37995834
107.4,107.21,107.72,106.451,27743975
107.27,108.61,108.85,107.2,26142448
109,108.03,109,107.95,11507846
107.59,106.82,107.69,106.1807,22679045
106.96,108.74,109.43,106.86,26689824
108.58,107.32,108.7,107.18,20647576
107.01,105.2299,107.03,104.82,34407732
