close,open,high,low,volume,negative,neutral,positive,compound
1494.1,1659,1794.99,1471.1101,37309610,0.0,1.0,0.0,0.0
686.72,730.12,753.33,673.79,58529442,0.0,1.0,0.0,0.0
1494.1,1659,1794.99,1471.1101,37309610,0.0,0.833,0.167,0.4939
745.6545,716.94,759.45,706.715,57474573,0.0,1.0,0.0,0.0
709.755,698.97,741.88,692.43,57451900,0.179,0.67,0.151,-0.128
1009.89,969.01,1010,948.5201,8732336,0.0,1.0,0.0,0.0
1079,1006.5,1087.69,1003.73,16212153,0.0,0.854,0.146,0.34
985.98,954.27,985.98,937.15,8834648,0.0,0.771,0.229,0.7906
819.25,793.77,824,787.01,31166079,0.088,0.912,0.0,-0.5719
1371,1276.69,1377.79,1266.044,18885360,0.0,0.885,0.115,0.296
1546.01,1396,1548.915,1376.0101,22730537,0.0,0.93,0.07,0.3612
1119.54,1083,1135.33,1080.5,12887738,0.0,0.912,0.088,0.4939
746.35,732.7,765.57,712.21,28421310,0.0,1.0,0.0,0.0
1371,1276.69,1377.79,1266.044,18885360,0.101,0.899,0.0,-0.5574
990.56,987.71,1005,982.571,9026154,0.0,1.0,0.0,0.0
897.875,858,899,854.1,13962296,0.0,0.886,0.114,0.2023
1371,1276.69,1377.79,1266.044,18885360,0.0,0.885,0.115,0.296
885.335,877.84,886.52,866.2,7366347,0.0,0.854,0.146,0.4404
1208.8,1221.48,1228,1185.6,15501212,0.0,0.728,0.272,0.9118
686.72,730.12,753.33,673.79,58529442,0.0,0.942,0.058,0.4019
1000.57,1012.78,1015.9699,991.34,7941809,0.0,1.0,0.0,0.0
948.45,919,950,909.16,26318875,0.0,0.839,0.161,0.7739
897.875,858,899,854.1,13962296,0.05,0.823,0.127,0.6486
994.54,999.95,1008.88,990.02,6108565,0.0,1.0,0.0,0.0
819.25,793.77,824,787.01,31166079,0.0,0.857,0.143,0.4576
1498.7701,1477.16,1531.71,1466,13387034,0.0,1.0,0.0,0.0
769.11,795.64,805,756.69,14526538,0.0,1.0,0.0,0.0
948.45,919,950,909.16,26318875,0.0,0.717,0.283,0.7964
1000.57,1012.78,1015.9699,991.34,7941809,0.0,0.854,0.146,0.4404
